Row Type,Action,Campaign,Ad schedule,Bid adjustment
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Monday 07:00-10:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Tuesday 07:00-10:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Wednesday 07:00-10:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Thursday 07:00-10:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Friday 07:00-10:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Saturday 07:00-10:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Sunday 07:00-10:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Monday 14:00-16:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Tuesday 14:00-16:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Wednesday 14:00-16:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Thursday 14:00-16:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Friday 14:00-16:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Saturday 14:00-16:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Sunday 14:00-16:00,+20%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Monday 05:00-07:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Tuesday 05:00-07:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Wednesday 05:00-07:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Thursday 05:00-07:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Friday 05:00-07:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Saturday 05:00-07:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Sunday 05:00-07:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Monday 20:00-21:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Tuesday 20:00-21:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Wednesday 20:00-21:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Thursday 20:00-21:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Friday 20:00-21:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Saturday 20:00-21:00,+5%
Ad schedule,Add,Bangalore_Search_Leads_Queen_Safety,Sunday 20:00-21:00,+5%
