Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,meaning,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,definition,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,wikipedia,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,wiki,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,ppt,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,template,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,sample,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,calculator,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,hsn code,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,gst,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,tender,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,franchise,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,distributorship,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,internship,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,3d model,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,cad,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,autocad,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,vector,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,png,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,photos,Phrase match
