"Row Type","Action","Keyword status","Level","Campaign","Negative keyword","Type"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","meaning","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","definition","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","wikipedia","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","wiki","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","ppt","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","template","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","sample","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","calculator","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","hsn code","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","gst","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","tender","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","franchise","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","distributorship","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","internship","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","3d model","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","cad","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","autocad","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","vector","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","png","Phrase match"
"Negative keyword","Add","Enabled","Campaign","Queen_Safety safety nets","photos","Phrase match"
