Row Type,Action,Keyword status,Level,Campaign,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,job,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,jobs,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,career,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,salary,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,vacancy,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,hiring,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,recruitment,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,training,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,course,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,diy,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,how to,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,youtube,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,video,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,pdf,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,manual,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,diagram,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,drawing,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,images,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,wallpaper,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,amazon,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,flipkart,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,meesho,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,olx,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,wholesale,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,manufacturer,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,supplier,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,raw material,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,cheap,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,discount,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,price list,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,fishing net,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,hair net,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,badminton net,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,volleyball net,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,tennis net,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,cricket score,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,live match,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,delhi,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,hyderabad,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,mumbai,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,chennai,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,kolkata,Phrase match
Negative keyword,Add,Enabled,Campaign,Bangalore_Search_Leads_Queen_Safety,pune,Phrase match
